,date,fromStart,infectionRateCI90,testPositivityRatio,caseDensity,weeklyNewCasesPer100k,infectionRate,FoxPolarity,VoxPolarity
0,2020-03-14,3,0.12,0.128,0.1,0.6,1.83,0.4277031746031746,0.691635
1,2020-03-15,4,0.1,0.124,0.1,0.7,1.83,0.4507164233576642,0.5726142857142857
2,2020-03-16,5,0.1,0.131,0.1,1.0,1.82,0.3218252747252747,0.7335756756756756
3,2020-03-17,6,0.1,0.129,0.2,1.4,1.81,0.4497440677966102,0.6885410256410257
4,2020-03-19,8,0.1,0.127,0.4,2.8,1.79,0.410640306122449,0.7247370370370371
5,2020-03-20,9,0.1,0.122,0.7,4.6,1.77,0.5289638655462184,0.820978125
6,2020-03-21,10,0.1,0.13,0.9,6.6,1.74,0.5460779527559055,0.8301133333333334
7,2020-03-22,11,0.1,0.138,1.3,9.4,1.72,0.3455583081570997,0.7037857142857142
8,2020-03-23,12,0.1,0.147,1.8,12.7,1.69,0.4030227822580645,0.7986275862068966
9,2020-03-24,13,0.1,0.155,2.3,15.9,1.65,0.4164901515151515,0.5041774193548387
10,2020-03-25,14,0.1,0.161,2.6,18.0,1.62,0.4868692537313433,0.689375
11,2020-03-26,15,0.1,0.169,3.1,22.0,1.58,0.3475837465564738,0.6794250000000001
12,2020-03-27,16,0.1,0.174,3.6,25.5,1.54,0.15540375,0.6046194444444445
13,2020-03-28,17,0.1,0.18,4.3,29.9,1.49,0.2270079754601227,0.77975
14,2020-03-29,18,0.1,0.184,4.7,33.0,1.45,0.4656210300429184,0.6870076923076923
15,2020-03-30,19,0.1,0.188,5.2,36.3,1.41,0.4340245989304813,0.4489117647058823
16,2020-03-31,20,0.1,0.193,5.8,40.5,1.36,0.4989977611940299,0.7201068965517241
17,2020-04-01,21,0.1,0.199,6.3,44.3,1.32,0.3671254859611231,0.6181954545454545
18,2020-04-02,22,0.1,0.204,6.9,48.1,1.28,0.4172987096774194,0.6781896551724138
19,2020-04-03,23,0.1,0.208,7.5,52.6,1.25,0.4256061151079137,0.6657580645161291
20,2020-04-04,24,0.1,0.209,8.1,56.8,1.21,0.4847160944206009,0.6952727272727273
21,2020-04-05,25,0.1,0.21,8.4,59.0,1.18,0.5261116788321167,0.7536428571428572
22,2020-04-06,26,0.1,0.211,8.8,61.8,1.15,0.3534349442379182,0.7996952380952381
23,2020-04-07,27,0.1,0.208,9.1,63.6,1.12,0.34518995215311,0.7678321428571427
24,2020-04-08,28,0.1,0.207,9.2,64.7,1.1,0.2896135135135135,0.6578081081081081
25,2020-04-09,29,0.1,0.206,9.4,66.1,1.08,0.4813401234567901,0.8348928571428571
26,2020-04-10,30,0.1,0.206,9.5,66.5,1.06,0.3362107142857143,0.4341925925925926
27,2020-04-11,31,0.1,0.2,9.3,65.4,1.04,0.4363961373390558,0.266725
28,2020-04-12,32,0.1,0.2,9.4,65.9,1.03,0.4911898360655738,0.7466555555555555
29,2020-04-13,33,0.1,0.199,9.2,64.4,1.02,0.3282407228915662,0.7066600000000001
30,2020-04-14,34,0.1,0.199,9.0,63.3,1.01,0.3437677725118483,0.8652185185185185
31,2020-04-15,35,0.1,0.197,9.0,63.1,1.0,0.3214393650793651,0.3634478260869564
32,2020-04-16,36,0.1,0.194,8.9,62.3,0.99,0.2470049079754601,0.691371875
33,2020-04-17,37,0.1,0.188,8.8,61.7,0.99,0.3631646226415094,0.5131333333333333
34,2020-04-18,38,0.1,0.188,8.7,60.7,0.99,0.4786698051948052,0.4725941176470588
35,2020-04-19,39,0.1,0.183,8.6,60.1,0.98,0.4255495515695067,0.58422
36,2020-04-20,40,0.1,0.179,8.7,60.6,0.98,0.351388961038961,0.560329411764706
37,2020-04-21,41,0.1,0.173,8.6,60.3,0.98,0.1864564102564102,0.5627478260869566
38,2020-04-22,42,0.1,0.167,8.6,60.0,0.98,0.3573883458646616,0.4878444444444444
39,2020-04-23,43,0.1,0.162,8.7,60.6,0.98,0.2950904458598726,0.7103428571428572
40,2020-04-24,44,0.1,0.158,8.8,61.9,0.97,0.3673770440251572,0.4520923076923077
41,2020-04-25,45,0.1,0.155,9.1,63.5,0.97,0.363395337995338,0.8857111111111111
42,2020-04-26,46,0.1,0.154,9.1,63.9,0.97,0.2226735849056604,0.4377727272727272
43,2020-04-27,47,0.1,0.151,8.9,62.6,0.96,0.4114365384615385,0.380025
44,2020-04-28,48,0.1,0.147,8.9,62.3,0.96,0.1567862559241706,0.5460121212121212
45,2020-04-29,49,0.1,0.144,8.8,61.6,0.95,0.400673500967118,0.6272068965517241
46,2020-04-30,50,0.1,0.14,8.7,60.6,0.95,0.3615875609756097,0.6424666666666666
47,2020-05-01,51,0.1,0.136,8.5,59.7,0.95,0.4185179271708683,0.3486357142857143
48,2020-05-02,52,0.1,0.132,8.3,58.4,0.94,0.374588326848249,0.4411636363636363
49,2020-05-03,53,0.1,0.128,8.3,58.2,0.94,0.3405959119496855,0.6937000000000001
50,2020-05-04,54,0.1,0.124,8.3,57.9,0.94,0.3713384439359268,0.3786625
51,2020-05-05,55,0.1,0.122,8.2,57.6,0.94,0.2221367412140575,0.7368894736842105
52,2020-05-06,56,0.1,0.117,8.1,57.0,0.94,0.3642232484076433,0.7073791666666667
53,2020-05-07,57,0.1,0.112,8.1,56.4,0.94,0.339895652173913,0.8096695652173913
54,2020-05-08,58,0.1,0.107,7.8,54.9,0.94,0.2784328947368421,0.504016
55,2020-05-09,59,0.1,0.103,7.6,53.5,0.94,0.3779835820895522,0.7298875
56,2020-05-10,60,0.1,0.1,7.4,51.7,0.94,0.4847444444444445,0.656
