,testPositivityRatio,caseDensity,weeklyNewCasesPer100k,infectionRate,infectionRateCI90,date
0,0.128,0.1,0.6,1.83,0.12,2020-03-14
1,0.124,0.1,0.7,1.83,0.1,2020-03-15
2,0.131,0.1,1.0,1.82,0.1,2020-03-16
3,0.129,0.2,1.4,1.81,0.1,2020-03-17
4,0.127,0.4,2.8,1.79,0.1,2020-03-19
5,0.122,0.7,4.6,1.77,0.1,2020-03-20
6,0.13,0.9,6.6,1.74,0.1,2020-03-21
7,0.138,1.3,9.4,1.72,0.1,2020-03-22
8,0.147,1.8,12.7,1.69,0.1,2020-03-23
9,0.155,2.3,15.9,1.65,0.1,2020-03-24
10,0.161,2.6,18.0,1.62,0.1,2020-03-25
11,0.169,3.1,22.0,1.58,0.1,2020-03-26
12,0.174,3.6,25.5,1.54,0.1,2020-03-27
13,0.18,4.3,29.9,1.49,0.1,2020-03-28
14,0.184,4.7,33.0,1.45,0.1,2020-03-29
15,0.188,5.2,36.3,1.41,0.1,2020-03-30
16,0.193,5.8,40.5,1.36,0.1,2020-03-31
17,0.199,6.3,44.3,1.32,0.1,2020-04-01
18,0.204,6.9,48.1,1.28,0.1,2020-04-02
19,0.208,7.5,52.6,1.25,0.1,2020-04-03
20,0.209,8.1,56.8,1.21,0.1,2020-04-04
21,0.21,8.4,59.0,1.18,0.1,2020-04-05
22,0.211,8.8,61.8,1.15,0.1,2020-04-06
23,0.208,9.1,63.6,1.12,0.1,2020-04-07
24,0.207,9.2,64.7,1.1,0.1,2020-04-08
25,0.206,9.4,66.1,1.08,0.1,2020-04-09
26,0.206,9.5,66.5,1.06,0.1,2020-04-10
27,0.2,9.3,65.4,1.04,0.1,2020-04-11
28,0.2,9.4,65.9,1.03,0.1,2020-04-12
29,0.199,9.2,64.4,1.02,0.1,2020-04-13
30,0.199,9.0,63.3,1.01,0.1,2020-04-14
31,0.197,9.0,63.1,1.0,0.1,2020-04-15
32,0.194,8.9,62.3,0.99,0.1,2020-04-16
33,0.188,8.8,61.7,0.99,0.1,2020-04-17
34,0.188,8.7,60.7,0.99,0.1,2020-04-18
35,0.183,8.6,60.1,0.98,0.1,2020-04-19
36,0.179,8.7,60.6,0.98,0.1,2020-04-20
37,0.173,8.6,60.3,0.98,0.1,2020-04-21
38,0.167,8.6,60.0,0.98,0.1,2020-04-22
39,0.162,8.7,60.6,0.98,0.1,2020-04-23
40,0.158,8.8,61.9,0.97,0.1,2020-04-24
41,0.155,9.1,63.5,0.97,0.1,2020-04-25
42,0.154,9.1,63.9,0.97,0.1,2020-04-26
43,0.151,8.9,62.6,0.96,0.1,2020-04-27
44,0.147,8.9,62.3,0.96,0.1,2020-04-28
45,0.144,8.8,61.6,0.95,0.1,2020-04-29
46,0.14,8.7,60.6,0.95,0.1,2020-04-30
47,0.136,8.5,59.7,0.95,0.1,2020-05-01
48,0.132,8.3,58.4,0.94,0.1,2020-05-02
49,0.128,8.3,58.2,0.94,0.1,2020-05-03
50,0.124,8.3,57.9,0.94,0.1,2020-05-04
51,0.122,8.2,57.6,0.94,0.1,2020-05-05
52,0.117,8.1,57.0,0.94,0.1,2020-05-06
53,0.112,8.1,56.4,0.94,0.1,2020-05-07
54,0.107,7.8,54.9,0.94,0.1,2020-05-08
55,0.103,7.6,53.5,0.94,0.1,2020-05-09
56,0.1,7.4,51.7,0.94,0.1,2020-05-10
57,0.097,7.2,50.4,0.94,0.1,2020-05-11
58,0.093,7.1,50.0,0.95,0.1,2020-05-12
59,0.089,7.0,49.0,0.95,0.1,2020-05-13
60,0.086,6.9,48.5,0.95,0.1,2020-05-14
61,0.084,6.9,48.1,0.96,0.1,2020-05-15
62,0.082,6.8,47.7,0.96,0.1,2020-05-16
63,0.082,6.8,47.3,0.96,0.1,2020-05-17
64,0.081,6.9,48.6,0.97,0.1,2020-05-18
65,0.08,6.9,48.2,0.97,0.1,2020-05-19
66,0.079,7.0,48.8,0.97,0.1,2020-05-20
67,0.077,6.9,48.3,0.97,0.1,2020-05-21
68,0.076,6.8,47.5,0.97,0.1,2020-05-22
69,0.074,6.7,47.1,0.98,0.1,2020-05-23
70,0.072,6.8,47.4,0.98,0.1,2020-05-24
71,0.071,6.7,46.6,0.98,0.1,2020-05-25
72,0.07,6.6,46.0,0.98,0.1,2020-05-26
73,0.069,6.4,44.7,0.98,0.1,2020-05-27
74,0.068,6.3,43.9,0.98,0.1,2020-05-28
75,0.067,6.3,44.1,0.99,0.1,2020-05-29
76,0.066,6.3,44.4,0.99,0.1,2020-05-30
77,0.065,6.4,44.6,0.99,0.1,2020-05-31
78,0.063,6.5,45.5,1.0,0.1,2020-06-02
79,0.062,6.6,45.9,1.01,0.1,2020-06-03
80,0.061,6.5,45.4,1.01,0.1,2020-06-04
81,0.06,6.5,45.3,1.02,0.1,2020-06-05
82,0.059,6.4,45.0,1.03,0.1,2020-06-06
83,0.058,6.3,44.3,1.04,0.1,2020-06-07
84,0.059,6.2,43.5,1.05,0.1,2020-06-08
85,0.058,6.2,43.3,1.06,0.1,2020-06-09
86,0.058,6.2,43.4,1.07,0.1,2020-06-10
87,0.057,6.3,44.1,1.09,0.1,2020-06-11
88,0.058,6.3,44.4,1.1,0.1,2020-06-12
89,0.058,6.4,44.9,1.11,0.1,2020-06-13
90,0.059,6.4,45.1,1.13,0.1,2020-06-14
91,0.061,6.5,45.6,1.14,0.1,2020-06-15
92,0.063,6.8,47.5,1.15,0.1,2020-06-16
93,0.066,7.0,49.0,1.16,0.1,2020-06-17
94,0.069,7.2,50.5,1.17,0.1,2020-06-18
95,0.072,7.5,52.4,1.18,0.1,2020-06-19
96,0.074,7.8,54.8,1.19,0.1,2020-06-20
97,0.076,8.1,57.0,1.19,0.1,2020-06-21
98,0.077,8.6,60.1,1.19,0.1,2020-06-22
99,0.078,9.0,63.1,1.2,0.1,2020-06-23
100,0.079,9.5,66.6,1.2,0.1,2020-06-24
101,0.08,10.0,69.9,1.19,0.1,2020-06-25
102,0.083,10.6,74.0,1.19,0.1,2020-06-26
103,0.085,11.0,77.1,1.19,0.1,2020-06-27
104,0.086,11.6,81.1,1.18,0.1,2020-06-28
105,0.088,12.0,83.8,1.18,0.1,2020-06-29
106,0.091,12.5,87.8,1.17,0.1,2020-06-30
107,0.095,13.1,91.8,1.16,0.1,2020-07-01
108,0.097,13.8,96.7,1.16,0.1,2020-07-02
109,0.098,14.3,100.2,1.15,0.1,2020-07-03
110,0.1,14.7,102.6,1.14,0.1,2020-07-04
111,0.102,14.9,104.2,1.14,0.1,2020-07-05
112,0.104,15.2,106.3,1.13,0.1,2020-07-06
113,0.105,15.4,108.0,1.12,0.1,2020-07-07
114,0.105,15.8,110.9,1.11,0.1,2020-07-08
115,0.105,16.0,112.2,1.11,0.1,2020-07-09
116,0.105,16.5,115.5,1.1,0.1,2020-07-10
117,0.105,17.0,118.8,1.09,0.1,2020-07-11
118,0.105,17.5,122.7,1.08,0.1,2020-07-12
119,0.104,18.2,127.2,1.07,0.1,2020-07-13
120,0.104,18.7,130.7,1.07,0.1,2020-07-14
121,0.103,19.1,133.4,1.06,0.1,2020-07-15
122,0.102,19.7,138.1,1.05,0.1,2020-07-16
123,0.101,19.8,138.9,1.04,0.1,2020-07-17
124,0.1,19.9,139.4,1.03,0.1,2020-07-18
125,0.099,20.1,140.8,1.02,0.1,2020-07-19
126,0.098,20.0,140.3,1.01,0.1,2020-07-20
127,0.097,20.0,140.2,1.0,0.1,2020-07-21
128,0.096,20.1,140.6,0.99,0.1,2020-07-22
129,0.095,19.8,138.9,0.98,0.1,2020-07-23
130,0.094,19.9,139.5,0.98,0.1,2020-07-24
131,0.093,20.1,140.9,0.97,0.1,2020-07-25
132,0.093,19.8,138.4,0.96,0.1,2020-07-26
133,0.092,19.7,138.2,0.96,0.1,2020-07-27
134,0.09,19.6,137.5,0.95,0.1,2020-07-28
135,0.089,19.5,136.5,0.95,0.1,2020-07-29
136,0.088,19.5,136.2,0.94,0.1,2020-07-30
137,0.087,19.3,135.0,0.94,0.1,2020-07-31
138,0.085,18.9,132.0,0.94,0.1,2020-08-01
139,0.083,18.7,131.0,0.93,0.1,2020-08-02
140,0.082,18.2,127.5,0.93,0.1,2020-08-03
141,0.08,17.8,124.6,0.93,0.1,2020-08-04
142,0.079,17.2,120.7,0.93,0.1,2020-08-05
143,0.077,16.8,117.3,0.93,0.1,2020-08-06
144,0.075,16.4,114.9,0.92,0.1,2020-08-07
145,0.074,16.3,114.4,0.92,0.1,2020-08-08
146,0.073,16.2,113.7,0.92,0.1,2020-08-09
147,0.072,16.2,113.6,0.92,0.1,2020-08-10
148,0.07,16.2,113.6,0.92,0.1,2020-08-11
149,0.068,16.2,113.7,0.92,0.1,2020-08-12
150,0.067,16.1,112.7,0.92,0.1,2020-08-13
151,0.065,16.0,111.9,0.92,0.1,2020-08-14
152,0.064,15.8,110.6,0.92,0.1,2020-08-15
153,0.063,15.3,107.2,0.92,0.1,2020-08-16
154,0.063,14.8,103.8,0.92,0.1,2020-08-17
155,0.061,14.4,100.6,0.92,0.1,2020-08-18
156,0.06,13.9,97.1,0.93,0.1,2020-08-19
157,0.059,13.5,94.7,0.93,0.1,2020-08-20
158,0.058,13.1,91.6,0.93,0.1,2020-08-21
159,0.057,12.8,89.5,0.94,0.1,2020-08-22
160,0.057,12.6,88.1,0.94,0.1,2020-08-23
161,0.056,12.7,88.9,0.94,0.1,2020-08-24
162,0.056,12.5,87.8,0.95,0.1,2020-08-25
163,0.056,12.6,88.0,0.95,0.1,2020-08-26
164,0.056,12.5,87.8,0.95,0.1,2020-08-27
165,0.056,12.5,87.2,0.95,0.1,2020-08-28
166,0.055,12.5,87.3,0.95,0.1,2020-08-29
167,0.055,12.5,87.6,0.96,0.1,2020-08-30
168,0.055,12.4,87.0,0.96,0.1,2020-08-31
169,0.054,12.4,86.5,0.96,0.1,2020-09-02
170,0.054,12.4,86.8,0.96,0.1,2020-09-03
171,0.053,12.4,86.6,0.97,0.1,2020-09-04
172,0.052,12.3,85.8,0.97,0.1,2020-09-05
173,0.052,12.1,84.6,0.98,0.1,2020-09-06
174,0.052,11.5,80.7,0.98,0.1,2020-09-07
175,0.051,11.1,77.8,0.99,0.1,2020-09-08
176,0.05,10.8,75.7,0.99,0.1,2020-09-09
177,0.049,10.5,73.4,1.0,0.1,2020-09-10
178,0.047,10.6,73.9,1.01,0.1,2020-09-11
179,0.047,10.4,72.9,1.01,0.1,2020-09-12
180,0.047,10.5,73.3,1.02,0.1,2020-09-13
181,0.046,11.0,76.8,1.02,0.1,2020-09-14
182,0.046,11.3,79.3,1.03,0.1,2020-09-15
183,0.046,11.6,81.1,1.03,0.1,2020-09-16
184,0.046,11.9,83.1,1.03,0.1,2020-09-17
185,0.046,11.9,83.2,1.04,0.1,2020-09-18
186,0.045,12.0,84.1,1.04,0.1,2020-09-19
187,0.045,12.1,84.9,1.04,0.1,2020-09-20
188,0.046,12.2,85.3,1.04,0.1,2020-09-22
189,0.046,12.3,86.2,1.04,0.1,2020-09-23
190,0.046,12.3,86.3,1.04,0.1,2020-09-24
191,0.046,12.3,85.9,1.04,0.1,2020-09-25
192,0.047,12.3,86.2,1.04,0.1,2020-09-26
193,0.047,12.5,87.3,1.04,0.1,2020-09-27
194,0.048,12.3,86.1,1.05,0.1,2020-09-28
195,0.048,12.6,88.3,1.05,0.1,2020-09-29
196,0.048,12.6,88.1,1.06,0.1,2020-09-30
