,testPositivityRatio,caseDensity,infectionRate,date,Polarity Scores
0,0.128,0.1,1.83,2020-03-14,0.691635
1,0.124,0.1,1.83,2020-03-15,0.5726142857142857
2,0.131,0.1,1.82,2020-03-16,0.7335756756756756
3,0.129,0.2,1.81,2020-03-17,0.6885410256410257
4,0.127,0.4,1.79,2020-03-19,0.7247370370370371
5,0.122,0.7,1.77,2020-03-20,0.820978125
6,0.13,0.9,1.74,2020-03-21,0.8301133333333334
7,0.138,1.3,1.72,2020-03-22,0.7037857142857142
8,0.147,1.8,1.69,2020-03-23,0.7986275862068966
9,0.155,2.3,1.65,2020-03-24,0.5041774193548387
10,0.161,2.6,1.62,2020-03-25,0.689375
11,0.169,3.1,1.58,2020-03-26,0.6794250000000001
12,0.174,3.6,1.54,2020-03-27,0.6046194444444445
13,0.18,4.3,1.49,2020-03-28,0.77975
14,0.184,4.7,1.45,2020-03-29,0.6870076923076923
15,0.188,5.2,1.41,2020-03-30,0.44891176470588234
16,0.193,5.8,1.36,2020-03-31,0.7201068965517241
17,0.199,6.3,1.32,2020-04-01,0.6181954545454545
18,0.204,6.9,1.28,2020-04-02,0.6781896551724138
19,0.208,7.5,1.25,2020-04-03,0.6657580645161291
20,0.209,8.1,1.21,2020-04-04,0.6952727272727273
21,0.21,8.4,1.18,2020-04-05,0.7536428571428572
22,0.211,8.8,1.15,2020-04-06,0.7996952380952381
23,0.208,9.1,1.12,2020-04-07,0.7678321428571427
24,0.207,9.2,1.1,2020-04-08,0.6578081081081081
25,0.206,9.4,1.08,2020-04-09,0.8348928571428571
26,0.206,9.5,1.06,2020-04-10,0.43419259259259263
27,0.2,9.3,1.04,2020-04-11,0.266725
28,0.2,9.4,1.03,2020-04-12,0.7466555555555555
29,0.199,9.2,1.02,2020-04-13,0.7066600000000001
30,0.199,9.0,1.01,2020-04-14,0.8652185185185185
31,0.197,9.0,1.0,2020-04-15,0.36344782608695647
32,0.194,8.9,0.99,2020-04-16,0.691371875
33,0.188,8.8,0.99,2020-04-17,0.5131333333333333
34,0.188,8.7,0.99,2020-04-18,0.47259411764705883
35,0.183,8.6,0.98,2020-04-19,0.58422
36,0.179,8.7,0.98,2020-04-20,0.560329411764706
37,0.173,8.6,0.98,2020-04-21,0.5627478260869566
38,0.167,8.6,0.98,2020-04-22,0.4878444444444444
39,0.162,8.7,0.98,2020-04-23,0.7103428571428572
40,0.158,8.8,0.97,2020-04-24,0.4520923076923077
41,0.155,9.1,0.97,2020-04-25,0.8857111111111111
42,0.154,9.1,0.97,2020-04-26,0.43777272727272726
43,0.151,8.9,0.96,2020-04-27,0.380025
44,0.147,8.9,0.96,2020-04-28,0.5460121212121212
45,0.144,8.8,0.95,2020-04-29,0.6272068965517241
46,0.14,8.7,0.95,2020-04-30,0.6424666666666666
47,0.136,8.5,0.95,2020-05-01,0.3486357142857143
48,0.132,8.3,0.94,2020-05-02,0.44116363636363637
49,0.128,8.3,0.94,2020-05-03,0.6937000000000001
50,0.124,8.3,0.94,2020-05-04,0.3786625
51,0.122,8.2,0.94,2020-05-05,0.7368894736842105
52,0.117,8.1,0.94,2020-05-06,0.7073791666666667
53,0.112,8.1,0.94,2020-05-07,0.8096695652173913
54,0.107,7.8,0.94,2020-05-08,0.504016
55,0.103,7.6,0.94,2020-05-09,0.7298875
56,0.1,7.4,0.94,2020-05-10,0.656
57,0.097,7.2,0.94,2020-05-11,0.3967346153846154
58,0.093,7.1,0.95,2020-05-12,0.5334500000000001
59,0.089,7.0,0.95,2020-05-13,0.5904090909090909
60,0.086,6.9,0.95,2020-05-14,0.6377894736842106
61,0.084,6.9,0.96,2020-05-15,0.7750380952380953
62,0.082,6.8,0.96,2020-05-16,0.48901666666666666
63,0.082,6.8,0.96,2020-05-17,0.4314428571428572
64,0.081,6.9,0.97,2020-05-18,0.5661764705882353
65,0.08,6.9,0.97,2020-05-19,0.5111
66,0.079,7.0,0.97,2020-05-20,0.6005541666666666
67,0.077,6.9,0.97,2020-05-21,0.6291863636363636
68,0.076,6.8,0.97,2020-05-22,0.6035684210526316
69,0.074,6.7,0.98,2020-05-23,0.31716666666666665
70,0.072,6.8,0.98,2020-05-24,0.99228
71,0.071,6.7,0.98,2020-05-25,0.3276833333333333
72,0.07,6.6,0.98,2020-05-26,0.5201619047619048
73,0.069,6.4,0.98,2020-05-27,0.42411304347826084
74,0.068,6.3,0.98,2020-05-28,0.5991875
75,0.067,6.3,0.99,2020-05-29,-0.02311351351351351
76,0.066,6.3,0.99,2020-05-30,-0.3209083333333333
77,0.065,6.4,0.99,2020-05-31,0.16412999999999997
78,0.063,6.5,1.0,2020-06-02,-0.22850333333333334
79,0.062,6.6,1.01,2020-06-03,0.18888571428571427
80,0.061,6.5,1.01,2020-06-04,-0.1053764705882353
81,0.06,6.5,1.02,2020-06-05,-0.22111111111111115
82,0.059,6.4,1.03,2020-06-06,-0.17844375
83,0.058,6.3,1.04,2020-06-07,-0.2511
84,0.059,6.2,1.05,2020-06-08,0.18308333333333335
85,0.058,6.2,1.06,2020-06-09,-0.10066666666666668
86,0.058,6.2,1.07,2020-06-10,-0.07656521739130434
87,0.057,6.3,1.09,2020-06-11,-0.08349047619047618
88,0.058,6.3,1.1,2020-06-12,0.037624
89,0.058,6.4,1.11,2020-06-13,0.9759000000000001
90,0.059,6.4,1.13,2020-06-14,-0.7213666666666666
91,0.061,6.5,1.14,2020-06-15,0.32028333333333336
92,0.063,6.8,1.15,2020-06-16,0.020759090909090908
93,0.066,7.0,1.16,2020-06-17,0.39927727272727276
94,0.069,7.2,1.17,2020-06-18,0.14445000000000002
95,0.072,7.5,1.18,2020-06-19,0.1965
96,0.074,7.8,1.19,2020-06-20,0.4135714285714286
97,0.076,8.1,1.19,2020-06-21,0.9965999999999999
98,0.077,8.6,1.19,2020-06-22,0.46964375
99,0.078,9.0,1.2,2020-06-23,0.4233807692307692
100,0.079,9.5,1.2,2020-06-24,0.2802
101,0.08,10.0,1.19,2020-06-25,0.706225
102,0.083,10.6,1.19,2020-06-26,0.6178833333333333
103,0.085,11.0,1.19,2020-06-27,0.9635999999999999
104,0.086,11.6,1.18,2020-06-28,-0.07900000000000001
105,0.088,12.0,1.18,2020-06-29,0.56255
106,0.091,12.5,1.17,2020-06-30,0.4248
107,0.095,13.1,1.16,2020-07-01,0.32817894736842107
108,0.097,13.8,1.16,2020-07-02,0.5472733333333333
109,0.098,14.3,1.15,2020-07-03,0.3338
111,0.102,14.9,1.14,2020-07-05,0.9943
112,0.104,15.2,1.13,2020-07-06,0.6651166666666667
113,0.105,15.4,1.12,2020-07-07,0.6001615384615385
114,0.105,15.8,1.11,2020-07-08,0.3455666666666667
115,0.105,16.0,1.11,2020-07-09,0.331425
116,0.105,16.5,1.1,2020-07-10,0.7302333333333333
117,0.105,17.0,1.09,2020-07-11,0.9914000000000001
118,0.105,17.5,1.08,2020-07-12,0.6658666666666667
119,0.104,18.2,1.07,2020-07-13,0.9874444444444445
120,0.104,18.7,1.07,2020-07-14,0.773775
121,0.103,19.1,1.06,2020-07-15,0.6408866666666667
122,0.102,19.7,1.05,2020-07-16,0.39223333333333327
123,0.101,19.8,1.04,2020-07-17,0.8085866666666667
124,0.1,19.9,1.03,2020-07-18,0.57478
125,0.099,20.1,1.02,2020-07-19,0.15535
126,0.098,20.0,1.01,2020-07-20,0.4024142857142857
127,0.097,20.0,1.0,2020-07-21,0.6614416666666666
128,0.096,20.1,0.99,2020-07-22,0.5826666666666667
129,0.095,19.8,0.98,2020-07-23,0.3507833333333334
130,0.094,19.9,0.98,2020-07-24,0.6626785714285715
131,0.093,20.1,0.97,2020-07-25,0.9949
132,0.093,19.8,0.96,2020-07-26,0.99715
133,0.092,19.7,0.96,2020-07-27,0.829275
134,0.09,19.6,0.95,2020-07-28,0.6240066666666667
